date,State,cases,deaths
2020-06-28,NC,62139,1315
2020-07-05,NC,477616,9570
2020-07-12,NC,557838,10184
2020-07-19,NC,654895,11060
2020-07-26,NC,748414,12043
2020-08-02,NC,839683,13193
2020-08-09,NC,918937,14587
2020-08-16,NC,984093,15863
2020-08-23,NC,1050771,17184
2020-08-30,NC,1127868,18360
2020-09-06,NC,1204380,19605
2020-09-13,NC,1267750,20874
2020-09-20,NC,1327002,22178
2020-09-27,NC,1402299,23494
2020-10-04,NC,1489920,24921
2020-10-11,NC,1577989,26000
2020-10-18,NC,1673873,27068
2020-10-25,NC,1769963,28055
2020-11-01,NC,1860277,29169
2020-11-08,NC,1992459,31319
2020-11-15,NC,2118625,32801
2020-11-22,NC,2270610,34142
2020-11-29,NC,2451847,35768
2020-12-06,NC,2650201,37659
2020-12-13,NC,2919607,39892
2020-12-20,NC,3213648,42295
2020-12-27,NC,3424622,43568
2020-06-28,TX,148723,3077
2020-07-05,TX,1227597,24574
2020-07-12,TX,1611283,32242
2020-07-19,TX,2064724,43267
2020-07-26,TX,2514244,55550
2020-08-02,TX,2883744,67598
2020-08-09,TX,3262936,77979
2020-08-16,TX,3596305,87438
2020-08-23,TX,3931253,94748
2020-08-30,TX,4175640,100418
2020-09-06,TX,4381770,105129
2020-09-13,TX,4548049,108973
2020-09-20,TX,4742584,112360
2020-09-27,TX,5055234,115622
2020-10-04,TX,5268882,118424
2020-10-11,TX,5470456,121517
2020-10-18,TX,5670292,124863
2020-10-25,TX,5918011,128927
2020-11-01,TX,6274633,134170
2020-11-08,TX,7051969,140487
2020-11-15,TX,7528116,147583
2020-11-22,TX,8088483,155600
2020-11-29,TX,8688728,164277
2020-12-06,TX,9315862,173466
2020-12-13,TX,10026336,183703
2020-12-20,TX,10752745,194554
2020-12-27,TX,11482028,205970
2020-06-28,NV,17156,500
2020-07-05,NV,139893,3638
2020-07-12,NV,176434,3973
2020-07-19,NV,224105,4380
2020-07-26,NV,278398,4923
2020-08-02,NV,328656,5532
2020-08-09,NV,375905,6323
2020-08-16,NV,412849,7154
2020-08-23,NV,446701,7976
2020-08-30,NV,471436,8820
2020-09-06,NV,491375,9427
2020-09-13,NV,507986,9964
2020-09-20,NV,522809,10520
2020-09-27,NV,540204,10912
2020-10-04,NV,563747,11232
2020-10-11,NV,587214,11508
2020-10-18,NV,615309,11835
2020-10-25,NV,650999,12136
2020-11-01,NV,690180,12371
2020-11-08,NV,739316,12765
2020-11-15,NV,805485,13158
2020-11-22,NV,886943,13742
2020-11-29,NV,996385,14516
2020-12-06,NV,1105988,15548
2020-12-13,NV,1231034,16880
2020-12-20,NV,1350280,18467
2020-12-27,NV,1451714,19944
2020-06-28,CA,283436,6622
2020-07-05,CA,2236192,49024
2020-07-12,CA,2705684,53934
2020-07-19,CA,3203531,59803
2020-07-26,CA,3655300,66418
2020-08-02,CA,4025129,73594
2020-08-09,CA,4341792,80797
2020-08-16,CA,4615819,87390
2020-08-23,CA,4846096,93477
2020-08-30,CA,5051914,98956
2020-09-06,CA,5233887,103823
2020-09-13,CA,5387350,107854
2020-09-20,CA,5545062,111484
2020-09-27,CA,5706146,114785
2020-10-04,CA,5866996,117709
2020-10-11,CA,6033134,120413
2020-10-18,CA,6204646,122733
2020-10-25,CA,6393575,124827
2020-11-01,CA,6606696,127074
2020-11-08,CA,6918102,129416
2020-11-15,CA,7352831,132046
2020-11-22,CA,8004931,136063
2020-11-29,CA,8799692,141141
2020-12-06,CA,9955861,148488
2020-12-13,CA,11569237,159932
2020-12-20,CA,13478667,176319
2020-12-27,CA,15326092,199308
